"wage","age","educ","exper","union","female","married","urban"
27.7388896942139,44,8,29,1,1,1,1
17.8571434020996,26,10,9,1,1,0,1
31.2062492370605,40,10,23,0,0,1,1
16.7437496185303,37,8,22,0,1,1,1
64.0250015258789,54,13,34,0,1,1,1
16.7437496185303,21,10,4,0,1,0,1
35.6642875671387,33,13,13,1,0,1,1
16.7437496185303,29,10,12,0,1,1,1
0.893750011920929,25,7,11,0,0,0,1
16.7437496185303,49,10,32,0,0,1,1
16.7437496185303,43,8,28,0,1,1,1
31.2062492370605,38,10,21,0,0,1,1
31.2062492370605,38,10,21,1,1,1,1
8.66250038146973,35,9,19,1,0,1,1
8.66250038146973,34,8,19,1,1,1,1
19.1357135772705,48,10,31,1,0,1,1
19.1357135772705,42,10,25,1,1,1,1
8.66250038146973,29,10,12,0,0,1,1
9.89999961853027,26,9,10,1,1,1,1
16.7437496185303,59,10,42,1,0,1,1
4.53749990463257,48,6,35,0,1,1,1
8.66250038146973,50,10,33,0,0,1,1
11.125,21,10,4,0,1,0,1
8.66250038146973,45,7,31,0,1,0,1
16.7437496185303,24,10,7,0,1,0,1
8.66250038146973,46,7,32,0,0,1,1
16.7437496185303,45,10,28,1,1,1,1
22.3250007629395,42,10,25,0,0,1,1
19.1357135772705,38,10,21,1,0,1,1
16.7437496185303,40,10,23,0,1,1,1
5.88586950302124,25,10,8,0,0,0,1
5.53804349899292,28,8,13,1,0,1,1
8.69565200805664,57,5,45,1,0,1,1
8.66250038146973,36,5,24,0,1,1,1
6.76875019073486,32,3,22,0,0,0,1
8.66250038146973,29,6,16,0,0,0,1
3.02500009536743,44,8,29,0,0,1,1
8.66250038146973,42,9,26,0,1,1,1
7.5267858505249,19,9,3,1,0,0,1
8.66250038146973,35,7,21,0,0,1,1
5.04166650772095,35,7,21,0,1,1,1
4.53749990463257,42,8,27,0,0,1,1
8.66250038146973,30,5,18,0,1,0,1
6.76875019073486,43,4,32,0,1,1,1
4.33125019073486,24,7,10,0,1,0,1
4.47282600402832,29,5,17,1,1,0,1
0.869565188884735,29,8,14,1,1,0,1
8.66250038146973,43,7,29,0,0,1,1
9.20625019073486,21,9,5,1,0,1,1
3.84999990463257,26,2,17,0,0,0,1
8.66250038146973,20,7,6,0,0,0,1
4.53749990463257,42,6,29,0,1,1,1
16.7437496185303,24,8,9,1,1,0,1
16.7437496185303,23,7,9,0,0,0,1
8.66250038146973,21,8,6,1,1,0,1
8.66250038146973,22,10,5,1,1,0,1
6.76875019073486,21,8,6,0,1,0,1
8.34375,34,9,18,0,0,0,1
8.66250038146973,24,10,7,0,0,0,1
8.66250038146973,25,9,9,0,1,0,1
5.41874980926514,42,5,30,0,0,0,1
8.66250038146973,38,6,25,0,0,0,1
8.66250038146973,37,8,22,0,1,0,1
4.53749990463257,23,10,6,0,1,0,1
4.0625,27,8,12,0,0,0,1
8.66250038146973,25,3,15,0,1,0,1
8.66250038146973,38,7,24,1,0,1,1
8.34375,37,7,23,0,1,1,1
8.34375,56,4,45,0,0,1,1
8.78125,28,10,11,0,0,0,1
4.53749990463257,30,9,14,0,1,0,1
6.63749980926514,54,5,42,0,0,0,1
8.66250038146973,27,8,12,0,1,1,1
8.66250038146973,56,6,43,0,0,1,1
8.66250038146973,53,3,43,1,1,1,1
10.625,45,6,32,0,0,1,1
5.625,51,6,38,0,1,1,1
7.5,39,7,25,0,0,0,1
3.60465121269226,43,6,30,0,1,0,1
3.60465121269226,23,7,9,0,1,0,1
3.875,17,6,4,0,1,0,1
3.875,41,2,32,0,0,1,1
3.875,20,7,6,0,0,0,1
3.94565224647522,39,6,26,1,0,1,1
1.92499995231628,27,8,12,0,0,0,1
2.02500009536743,25,8,10,0,1,0,1
5.41874980926514,44,7,30,0,0,0,1
5.859375,22,10,5,0,1,0,1
4.33125019073486,20,7,6,0,0,0,1
1.77499997615814,26,6,13,1,1,1,1
8.34375,39,5,27,1,0,0,1
4.53749990463257,27,5,15,0,0,0,1
7.58125019073486,25,6,12,1,1,0,1
5.41874980926514,49,3,39,1,1,1,1
7.0652174949646,47,9,31,1,0,1,1
8.33333301544189,45,6,32,1,1,0,1
6.23124980926514,24,8,9,1,1,0,1
12.3858699798584,43,7,29,0,1,1,1
4.73958349227905,22,10,5,0,1,0,1
5.95625019073486,44,6,31,1,1,1,1
7.04374980926514,50,6,37,1,0,1,1
1.92499995231628,59,6,46,1,1,1,1
8.66250038146973,52,7,38,0,0,1,1
8.25,26,10,9,0,0,0,1
